question_id,factor_id,factor_key,question_text,answer_type,choices,next_factor_hint
1001,1,water_control,물 양을 직접 조절하고 싶으신가요?,no_choice,,
1002,1,water_control,커피 시 물 관리가 중요한가요?,single_choice,매우 중요|보통|상관없음,
1003,2,coffee_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
1004,2,coffee_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
1005,2,coffee_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
1006,3,machine_durability,장기간(3년 이상) 사용을 계획하고 계신가요?,no_choice,,
1007,3,machine_durability,제품 내구성이 중요한가요?,single_choice,매우 중요|보통|상관없음,
1008,3,machine_durability,A/S나 수리 가능 여부를 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
1009,4,coffee_size,공간에 맞는 크기가 중요한가요?,single_choice,매우 중요|보통|상관없음,
1010,4,coffee_size,제품 무게가 가벼운 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
1011,4,coffee_size,공간 활용이나 수납을 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
1012,5,foam_quality,거품의 양이나 질이 중요한가요?,single_choice,매우 중요|보통|상관없음,
1013,5,foam_quality,거품 품질이(가) 만족스러워야 하나요?,no_choice,,
1014,6,machine_noise,소음에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
1015,6,machine_noise,추출 시 조용한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
1016,6,machine_noise,야간이나 새벽에 사용하실 계획인가요?,single_choice,예|아니오|잘 모르겠음,
1017,7,capsule_cost,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
1018,7,capsule_cost,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
1019,7,capsule_cost,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
1020,8,cleaning_hassle,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
1021,8,cleaning_hassle,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
1022,8,cleaning_hassle,캡슐 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
1023,9,coffee_assembly,제품 조립을 직접 하실 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
1024,9,coffee_assembly,복잡한 조립 과정도 감수하실 수 있나요?,no_choice,,
1025,9,coffee_assembly,조립 시간이 오래 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
1026,10,coffee_odor,냄새에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
1027,10,coffee_odor,개봉 시 화학 냄새가 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
1028,10,coffee_odor,신제품 냄새 제거에 시간이 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
1029,11,coffee_performance,사용 성능에 대한 기대치가 높으신가요?,no_choice,,
1030,11,coffee_performance,"최고 성능이 필요하신가요, 아니면 적당하면 되나요?",no_choice,,
1031,11,coffee_performance,성능이 가격보다 중요한가요?,single_choice,매우 중요|보통|상관없음,
2001,12,operation_noise,소음에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
2002,12,operation_noise,작동 시 조용한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
2003,12,operation_noise,야간이나 새벽에 사용하실 계획인가요?,single_choice,예|아니오|잘 모르겠음,
2004,13,maintenance_burden,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
2005,13,maintenance_burden,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
2006,13,maintenance_burden,매일 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
2007,14,robot_size,공간에 맞는 크기가 중요한가요?,single_choice,매우 중요|보통|상관없음,
2008,14,robot_size,제품 무게가 가벼운 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
2009,14,robot_size,공간 활용이나 수납을 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
2010,15,product_durability,장기간(3년 이상) 사용을 계획하고 계신가요?,no_choice,,
2011,15,product_durability,제품 내구성이 중요한가요?,single_choice,매우 중요|보통|상관없음,
2012,15,product_durability,A/S나 수리 가능 여부를 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
2013,16,battery_runtime,한 번 충전으로 오래 사용하고 싶으신가요?,no_choice,,
2014,16,battery_runtime,충전 없이 연속 청소하는 시간이 중요한가요?,single_choice,매우 중요|보통|상관없음,
2015,16,battery_runtime,배터리 교체나 수명이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
2016,17,cleaning_performance,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
2017,17,cleaning_performance,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
2018,17,cleaning_performance,성능 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
2019,18,price_value,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
2020,18,price_value,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
2021,18,price_value,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
2022,19,robot_water_control,물 양을 직접 조절하고 싶으신가요?,no_choice,,
2023,19,robot_water_control,사용 시 물 관리가 중요한가요?,single_choice,매우 중요|보통|상관없음,
2024,20,robot_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
2025,20,robot_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
2026,20,robot_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
3001,21,earphone_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
3002,21,earphone_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
3003,21,earphone_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
3004,22,anc_quality,외부 성능에 대한 기대치가 높으신가요?,no_choice,,
3005,22,anc_quality,"최고 성능이 필요하신가요, 아니면 적당하면 되나요?",no_choice,,
3006,22,anc_quality,성능이 가격보다 중요한가요?,single_choice,매우 중요|보통|상관없음,
3007,23,connection_stability,연결 안정성이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
3008,23,connection_stability,연결 시 연결 안정성을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
3009,24,price_satisfaction,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
3010,24,price_satisfaction,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
3011,24,price_satisfaction,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
3012,25,battery_endurance,한 번 충전으로 오래 사용하고 싶으신가요?,no_choice,,
3013,25,battery_endurance,충전 없이 연속 사용하는 시간이 중요한가요?,single_choice,매우 중요|보통|상관없음,
3014,25,battery_endurance,배터리 교체나 수명이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
3015,26,audio_quality,음질이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
3016,26,audio_quality,듣 시 음질을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
3017,27,portability,휴대성이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
3018,27,portability,휴대 시 휴대성을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
4001,28,induction_assembly,제품 조립을 직접 하실 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
4002,28,induction_assembly,복잡한 조립 과정도 감수하실 수 있나요?,no_choice,,
4003,28,induction_assembly,조립 시간이 오래 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
4004,29,size_fit,주방에 맞는 크기가 중요한가요?,single_choice,매우 중요|보통|상관없음,
4005,29,size_fit,제품 무게가 가벼운 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
4006,29,size_fit,공간 활용이나 수납을 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
4007,30,surface_cleaning,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
4008,30,surface_cleaning,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
4009,30,surface_cleaning,표면 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
4010,31,cooking_noise,소음에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
4011,31,cooking_noise,조리 시 조용한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
4012,31,cooking_noise,야간이나 새벽에 사용하실 계획인가요?,single_choice,예|아니오|잘 모르겠음,
4013,32,reliability,신뢰성이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
4014,32,reliability,사용 시 신뢰성을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
4015,33,cost_effectiveness,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
4016,33,cost_effectiveness,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
4017,33,cost_effectiveness,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
4018,34,heating_power,화력이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
4019,34,heating_power,조리 시 화력을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
4020,35,induction_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
4021,35,induction_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
4022,35,induction_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
5001,36,vacuum_noise,소음에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
5002,36,vacuum_noise,작동 시 조용한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
5003,36,vacuum_noise,야간이나 새벽에 사용하실 계획인가요?,single_choice,예|아니오|잘 모르겠음,
5004,37,build_quality,장기간(3년 이상) 사용을 계획하고 계신가요?,no_choice,,
5005,37,build_quality,제품 내구성이 중요한가요?,single_choice,매우 중요|보통|상관없음,
5006,37,build_quality,A/S나 수리 가능 여부를 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
5007,38,filter_maintenance,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
5008,38,filter_maintenance,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
5009,38,filter_maintenance,필터 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
5010,39,bedding_odor,냄새에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
5011,39,bedding_odor,개봉 시 화학 냄새가 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
5012,39,bedding_odor,신제품 냄새 제거에 시간이 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
5013,40,weight_handling,사용에 맞는 크기가 중요한가요?,single_choice,매우 중요|보통|상관없음,
5014,40,weight_handling,제품 무게가 가벼운 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
5015,40,weight_handling,공간 활용이나 수납을 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
5016,41,bedding_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
5017,41,bedding_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
5018,41,bedding_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
5019,42,suction_power,흡입력이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
5020,42,suction_power,청소 시 흡입력을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
5021,43,value_for_money,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
5022,43,value_for_money,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
5023,43,value_for_money,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
6001,44,water_capacity,물 양을 직접 조절하고 싶으신가요?,no_choice,,
6002,44,water_capacity,물통 시 물 관리가 중요한가요?,single_choice,매우 중요|보통|상관없음,
6003,45,water_maintenance,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
6004,45,water_maintenance,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
6005,45,water_maintenance,매일 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
6006,46,humidifier_size,공간에 맞는 크기가 중요한가요?,single_choice,매우 중요|보통|상관없음,
6007,46,humidifier_size,제품 무게가 가벼운 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
6008,46,humidifier_size,공간 활용이나 수납을 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
6009,47,sleep_disturbance,수면 방해이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
6010,47,sleep_disturbance,수면 시 수면 방해을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
6011,48,humidifier_durability,장기간(3년 이상) 사용을 계획하고 계신가요?,no_choice,,
6012,48,humidifier_durability,제품 내구성이 중요한가요?,single_choice,매우 중요|보통|상관없음,
6013,48,humidifier_durability,A/S나 수리 가능 여부를 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
6014,49,humidity_output,가습량이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
6015,49,humidity_output,가습 시 가습량을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
6016,50,odor_issue,냄새에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
6017,50,odor_issue,사용 시 화학 냄새가 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
6018,50,odor_issue,신제품 냄새 제거에 시간이 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
6019,51,humidifier_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
6020,51,humidifier_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
6021,51,humidifier_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
6022,52,price_performance,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
6023,52,price_performance,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
6024,52,price_performance,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
7001,53,assembly_difficulty,제품 조립을 직접 하실 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
7002,53,assembly_difficulty,복잡한 조립 과정도 감수하실 수 있나요?,no_choice,,
7003,53,assembly_difficulty,조립 시간이 오래 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
7004,54,delivery_damage,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
7005,54,delivery_damage,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
7006,54,delivery_damage,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
7007,55,storage_capacity,수납 용량이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
7008,55,storage_capacity,수납 시 수납 용량을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
7009,56,bookshelf_odor,냄새에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
7010,56,bookshelf_odor,개봉 시 화학 냄새가 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
7011,56,bookshelf_odor,신제품 냄새 제거에 시간이 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
7012,57,structural_stability,구조 안정성이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
7013,57,structural_stability,사용 시 구조 안정성을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
7014,58,space_fit,공간 활용이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
7015,58,space_fit,설치 시 공간 활용을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
7016,59,bookshelf_maintenance,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
7017,59,bookshelf_maintenance,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
7018,59,bookshelf_maintenance,청소 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
7019,60,quality_price_ratio,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
7020,60,quality_price_ratio,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
7021,60,quality_price_ratio,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8001,61,chair_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
8002,61,chair_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
8003,61,chair_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
8004,62,sitting_comfort,착좌감이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
8005,62,sitting_comfort,앉 시 착좌감을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8006,63,chair_value,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
8007,63,chair_value,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
8008,63,chair_value,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8009,64,chair_durability,장기간(3년 이상) 사용을 계획하고 계신가요?,no_choice,,
8010,64,chair_durability,제품 내구성이 중요한가요?,single_choice,매우 중요|보통|상관없음,
8011,64,chair_durability,A/S나 수리 가능 여부를 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8012,65,chair_size,앉에 맞는 크기가 중요한가요?,single_choice,매우 중요|보통|상관없음,
8013,65,chair_size,제품 무게가 가벼운 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
8014,65,chair_size,공간 활용이나 수납을 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
8015,66,chair_assembly,제품 조립을 직접 하실 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
8016,66,chair_assembly,복잡한 조립 과정도 감수하실 수 있나요?,no_choice,,
8017,66,chair_assembly,조립 시간이 오래 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
8018,67,chair_noise,소음에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
8019,67,chair_noise,앉 시 조용한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
8020,67,chair_noise,야간이나 새벽에 사용하실 계획인가요?,single_choice,예|아니오|잘 모르겠음,
9001,68,desk_assembly,제품 조립을 직접 하실 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
9002,68,desk_assembly,복잡한 조립 과정도 감수하실 수 있나요?,no_choice,,
9003,68,desk_assembly,조립 시간이 오래 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
9004,69,desk_delivery,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
9005,69,desk_delivery,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
9006,69,desk_delivery,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
9007,70,desk_dimensions,공간에 맞는 크기가 중요한가요?,single_choice,매우 중요|보통|상관없음,
9008,70,desk_dimensions,제품 무게가 가벼운 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
9009,70,desk_dimensions,공간 활용이나 수납을 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
9010,71,desk_functionality,기능성이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
9011,71,desk_functionality,사용 시 기능성을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
9012,72,desk_stability,책상 안정성이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
9013,72,desk_stability,사용 시 책상 안정성을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
9014,73,desk_price,가격이 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
9015,73,desk_price,예산이 정해져 있으신가요?,single_choice,예|아니오|잘 모르겠음,
9016,73,desk_price,장기적인 유지비용도 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
9017,74,desk_maintenance,매일 청소하거나 관리해도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
9018,74,desk_maintenance,관리가 간편한 것이 중요한가요?,single_choice,매우 중요|보통|상관없음,
9019,74,desk_maintenance,청소 유지보수에 시간을 투자할 수 있으신가요?,single_choice,예|아니오|잘 모르겠음,
9020,75,desk_odor,냄새에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
9021,75,desk_odor,개봉 시 화학 냄새가 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
9022,75,desk_odor,신제품 냄새 제거에 시간이 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
10001,76,mattress_packaging,배송 중 파손이 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
10002,76,mattress_packaging,포장 상태가 중요한가요?,single_choice,매우 중요|보통|상관없음,
10003,76,mattress_packaging,빠른 배송보다 안전한 배송이 중요한가요?,single_choice,매우 중요|보통|상관없음,
10004,77,mattress_value,가성비이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
10005,77,mattress_value,구매 시 가성비을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
10006,78,mattress_firmness,쿠션감/단단함이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
10007,78,mattress_firmness,누움 시 쿠션감/단단함을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
10008,79,mattress_thickness,두께/높이이(가) 구매 결정에 중요한 요소인가요?,single_choice,예|아니오|잘 모르겠음,
10009,79,mattress_thickness,매트 시 두께/높이을(를) 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
10010,80,mattress_sagging,장기간(3년 이상) 사용을 계획하고 계신가요?,no_choice,,
10011,80,mattress_sagging,제품 내구성이 중요한가요?,single_choice,매우 중요|보통|상관없음,
10012,80,mattress_sagging,A/S나 수리 가능 여부를 고려하시나요?,single_choice,예|아니오|잘 모르겠음,
10013,81,mattress_odor,냄새에 민감하신 편인가요?,single_choice,예|아니오|잘 모르겠음,
10014,81,mattress_odor,개봉 시 화학 냄새가 걱정되시나요?,single_choice,예|아니오|잘 모르겠음,
10015,81,mattress_odor,신제품 냄새 제거에 시간이 걸려도 괜찮으신가요?,single_choice,예|아니오|잘 모르겠음,
